title,company_name,experience,skills
"Python, Computer Vision Developer",STL,1,JavaGitGitHubPythonC++DockerMachine learningOpenCVPyTorchComputer vision
AI Automation engineer,Bluegeko,2,PythonPostgreSQLDockerMarketingAWSEngineeringBackend developmentGoogle Cloud PlatformMarketing automationPlaywrightAI integration
Спеціаліст з автоматизації бізнес-процесів,"Агропродсервіс, ПАП",2,Python
Python Developer (Odoo),Товариство Червоного Хреста України,2,CSSJavaScriptHTMLGitPythonPostgreSQLDockerREST APIKubernetesOdooCI/CDgRPC
Python developer,Noxon,1,PythonNode.jsGrafanaPrometheusSOLID PrinciplesBlockchainEVM
"Програміст Odoo (Python, ERP)",Аттал,1,SQLPythonPostgreSQLOdoo
Розробник Odoo,"Ейрлоджикс, ТОВ",2,OdooPythonSQLJiraSlackConfluence
Інженер-програміст БПЛА,"SkyFall, Батарея зенітних БпАК (Військова частина 3027 НГУ)",5,PythonC++ArduPilotBetaflight
Інженер-програміст БПЛА,"Буревій, 1 Президентська бригада оперативного призначення НГУ",1,PythonC++ArduPilotBetaflightYOLORaspberry PiQGroundControlMission PlannerUbuntu
Odoo Developer,Генерал Черешня,2,
Embedded-розробник,Lira,2,GitPythonC++MikroTikVLANC/C++
"Data Analyst (SQL, Python)","Є гроші, фінансова компанія, ТОВ",1,MS ExcelSQLPythonPostgreSQLGoogle SheetsLooker StudioMS Power BIPower Query
AI Product Engineer,Ader Haber,1,SQLGitJavaScriptPythonPostgreSQLReactNode.jsDockerTypeScriptREST APIRESTAWSFastAPIGoogle Cloud PlatformNext.jsCI/CDOpenAILangChainRagClaude APIMS AzureSDK
"Software Developer (Middle, Senior)",NDA Recruitment,2,C++PythonWelding of embedded products
Middle FullStack (Python) Developer,Nix,2,JavaScriptGitHubPythonPostgreSQLReactAgileDockerTypeScriptREST APIRESTFlaskAWSNoSQLPyTestFastAPICI/CDGitHub Actions
Backend Infrastructure Software Engineer,6 центр рекрутингу Сил безпілотних систем,1,JavaMySQLPythonC++PostgreSQLJSONDockerTCP/IPREST APIRESTRedisRabbitMQKubernetesApache KafkaCI/CDgRPC
"Trainee, Junior, Middle Python Developer",Інсайдери,0,MySQLGitPythonPostgreSQLDjangoDjango Rest Framework
"Викладач програмування, геймдизайну, графічного дизайну (Python, Unity, Roblox, Scratch)",Mindlane s.r.o.,0,Adobe PhotoshopAdobe IllustratorFigmaJavaScriptJavaPHPCanvaPythonC++C#UnityScratchRoblox
"Middle, Senior Python Developer",Інсайдери,1,MySQLGitPostgreSQLDockerDjangoDjango Rest FrameworkRESTAWSCeleryMS AzureasyncioGoogle Cloud PlatformSOLID PrinciplesCI/CD
Middle Python Developer,UncleSolutions,2,GitPythonPostgreSQLMongoDBDockerDjangoREST APIRESTFlaskFastAPI
"Викладач онлайн-курсу Python, AI-інструменти для підлітків","Junior IT, школа программирования для детей",2,CursorCursor Chat / AgentClaudeClaude CodeClaude APINoPythonGitGitHub
"Програміст (Opencart, Python)",Nadel,1,CSSJavaScriptHTMLPHPMySQLGitOpenCartDockerREST APIPythonREST
"Python developer (Django, FastAPI)",UncleSolutions,1,PythonPostgreSQLMongoDBDjangoREST APIRESTAWSFastAPISOLID Principles
"Викладач онлайн-курсу ""AI-розробник з Python"" для підлітків","Junior IT, школа программирования для детей",2,GitGitHubPythonJSONGoogle MeetTelegram APISQLiteClaude API
Python-розробник,6 центр рекрутингу Сил безпілотних систем,2,CSSHTMLJavaScriptPythonPostgreSQLTypeScriptOdoo
"Backend Developer, військовослужбовець (Python/Odoo, центр логістичних рішень)","Хартія, 13-та БрОП НГУ",2,GitPythonPostgreSQLXMLDockerRESTORMSQLAlchemyOdooCSV
"Інженер-програміст, військовослужбовець",17 Полтавська бригада Національної гвардії України,1,Python
"Викладач Python-, WEB-програмування (онлайн)","Junior IT, школа программирования для детей",1,Python
Python Developer (AI/ML Integration),АТБ-маркет,2,
"Middle Python-розробник (Odoo, ERP)","Перший, ломбард, ПТ",2,JavaScriptSQLGitPythonPostgreSQLXMLJSONREST APIRESTORMOdoo
"Спеціаліст з дослідження даних, Data scientist у Глобине","Глобино, ГК",0,SQLPythonOracle DatabaseOracle SQL DeveloperPL/SQLMachine learning
Computer Vision Researcher (copters),Frontline Robotics,2,
"AI, ML Engineer","Ахіллес (СБС), 429 ОБ БпС",2,PythonDockerTensorFlowMachine learningCI/CDPyTorchPromptLangChainRag
Python-програміст,"Танграм, група компаній",2,CSSJavaScriptHTMLPHPMySQLSQLGitPythonReactMongoDBNode.jsDjangoFlaskFastAPIMachine learning
"Викладач програмування в ІТ-школу (Python, Scratch)","Logika, школа програмування та англійської мови для дiтей",0,PythonScratch
"Інженер-програміст БПЛА, військовослужбовець",9 бригада безпілотних систем,1,JavaPythonC++
Python Software Engineer,Synthetic,1,
"AQA Engineer Python (middle, РПЗМ)",Дія,1,
"Senior, Principal ML Systems Architect (TensorFlow, Python)","Актуальна Механіка, ІК",5,PythonDockerTensorFlowFastAPIKubernetesGitLabGrafanaONNX RuntimeOpenTelemetry
Розробник,Дослідження та Розвиток,1,PythonClaude API
"Python Full-stack Developer (FastAPI, React)",Buyo,1,GitGitHubJiraPythonPostgreSQLSASSReactReact RouterReact HooksReact ReduxJSONGoogle SheetsGoogle APIReduxRedux ToolkitTelegram APIDockerTypeScriptREST APIRESTRedisAxiosSQLAlchemyMaterial UIGrafanaasyncioFastAPIPrometheusAiohttpVite.jsCI/CDPydanticAlembicAPScheduler
Junior Backend Developer,Codefather,1,GitPythonPostgreSQLMongoDBDockerHTTPRESTRedisSQLAlchemyFastAPIAlembicRabbitMQ
"Middle Backend Developer (Python, FastAPI)",Codefather,1,SQLGitGitHubGitLabPythonPostgreSQLJSONMongoDBDockerHTTPREST APIRESTRedisRabbitMQORMCelerySQLAlchemyWebSocketGrafanaPyTestasyncioFastAPIPrometheusCI/CDGitHub ActionsBlockchain
"Junior Python Developer (AI, Django, API, Automation, Bots, Scrapers)","Мельник О.І., ФОП (IT-компанія)",1,PythonDjangoSeleniumScrapyBeautiful SoupPlaywrightREST API
"Вчитель програмування для дітей (HTML, CSS, JavaScript, Python)",Algoritm Delta,0,
"Senior Odoo, Python-інженер",SummitFlux,2,
Python developer,Рахівський РТЦК та СП,1,CSSHTMLMySQLGitHubGitLabJavaScriptPythonDocker
"Викладач програмування (Python, Unity 2D, 3D, C++)","Розумне Майбутнє, благодійна школа, БФ",1,PythonC++C#Unity
Python Developer/AI Software Engineer,Aeoncodes,1,JavaScriptPythonWeb ScrapingClaude API
"Product-менеджер, Python Developer",MagneticOne Municipal Technologies,1,CSSMS ExcelJavaHTMLPHPPythonXMLJSONGoogle SheetsGoogle APIGoogle Cloud PlatformPostmanREST APIRESTpandasNumPyCSV
"C++, Python Developer","Агропром, ТОВ",1,JavaScriptGitJiraPythonC++Node.jsDockerTypeScriptpandasNumPyTensorFlowSPIPyTorchArduPilot
Linux Engineer (Embedded),RoGuard Systems,2,PythonC++DockerArduPilot
"Senior Full‑Stack Developer (Python, Django, React, Amazon SP‑API)","Туровська О.М., ФОП",5,PythonPostgreSQLReactDockerTypeScriptDjangoDjango Rest FrameworkRESTRedisAWSCeleryCI/CD
"AI, Python Engineer",ArmDrones,1,GitHubPythonC++
Python Developer,Devpower,2,
"Senior Fullstack developer (Python, React)",Mirko,2,CSSJavaScriptPythonReactReact ReduxReduxDockerAWSMS AzureKubernetesGoogle Cloud PlatformCI/CDCSS Modules
