title,company_name,experience,skills
Junior Backend Developer,Codefather,1,"Git, Python, PostgreSQL, MongoDB, Docker, HTTP, REST, Redis, SQLAlchemy, FastAPI, Alembic, RabbitMQ"
"Middle Backend Developer (Python, FastAPI)",Codefather,1,"SQL, Git, GitHub, GitLab, Python, PostgreSQL, JSON, MongoDB, Docker, HTTP, REST API, REST, Redis, RabbitMQ, ORM, Celery, SQLAlchemy, WebSocket, Grafana, PyTest, asyncio, FastAPI, Prometheus, CI/CD, GitHub Actions, Blockchain"
"Junior Python Developer (AI, Django, API, Automation, Bots, Scrapers)","Мельник О.І., ФОП (IT-компанія)",1,"Python, Django, Selenium, Scrapy, Beautiful Soup, Playwright, REST API"
"Вчитель програмування для дітей (HTML, CSS, JavaScript, Python)",Algoritm Delta,0,
"Senior Odoo, Python-інженер",SummitFlux,2,
Python developer,Рахівський РТЦК та СП,1,"CSS, HTML, MySQL, GitHub, GitLab, JavaScript, Python, Docker"
"Викладач програмування (Python, Unity 2D, 3D, C++)","Розумне Майбутнє, благодійна школа, БФ",1,"Python, C++, C#, Unity"
Python Developer/AI Software Engineer,Aeoncodes,1,"JavaScript, Python, Web Scraping, Claude API"
"Product-менеджер, Python Developer",MagneticOne Municipal Technologies,1,"CSS, MS Excel, Java, HTML, PHP, Python, XML, JSON, Google Sheets, Google API, Google Cloud Platform, Postman, REST API, REST, pandas, NumPy, CSV"
"C++, Python Developer","Агропром, ТОВ",1,"JavaScript, Git, Jira, Python, C++, Node.js, Docker, TypeScript, pandas, NumPy, TensorFlow, SPI, PyTorch, ArduPilot"
Linux Engineer (Embedded),RoGuard Systems,2,"Python, C++, Docker, ArduPilot"
"Senior Full‑Stack Developer (Python, Django, React, Amazon SP‑API)","Туровська О.М., ФОП",5,"Python, PostgreSQL, React, Docker, TypeScript, Django, Django Rest Framework, REST, Redis, AWS, Celery, CI/CD"
"AI, Python Engineer",ArmDrones,1,"GitHub, Python, C++"
Python Developer,Devpower,2,
"Senior Fullstack developer (Python, React)",Mirko,2,"CSS, JavaScript, Python, React, React Redux, Redux, Docker, AWS, MS Azure, Kubernetes, Google Cloud Platform, CI/CD, CSS Modules"
